mode=ns total level=10 multidegrees=230230 dps=40
NS Schottky: 13 primitives, 20 fermion oscillator factors, 180 coefficients
NS recursion 5000/230230 elapsed=0.313879 s
NS recursion 10000/230230 elapsed=0.638248 s
NS recursion 15000/230230 elapsed=1.12459 s
NS recursion 20000/230230 elapsed=1.77794 s
NS recursion 25000/230230 elapsed=2.4859 s
NS recursion 30000/230230 elapsed=3.74327 s
NS recursion 35000/230230 elapsed=4.67017 s
NS recursion 40000/230230 elapsed=6.25652 s
NS recursion 45000/230230 elapsed=8.06892 s
NS recursion 50000/230230 elapsed=9.49921 s
NS recursion 55000/230230 elapsed=11.74 s
NS recursion 60000/230230 elapsed=14.7781 s
NS recursion 65000/230230 elapsed=16.5526 s
NS recursion 70000/230230 elapsed=19.2315 s
NS recursion 75000/230230 elapsed=22.2484 s
NS recursion 80000/230230 elapsed=26.9885 s
NS recursion 85000/230230 elapsed=30.4108 s
NS recursion 90000/230230 elapsed=33.1021 s
NS recursion 95000/230230 elapsed=37.4556 s
NS recursion 100000/230230 elapsed=41.6249 s
NS recursion 105000/230230 elapsed=47.436 s
NS recursion 110000/230230 elapsed=54.0589 s
NS recursion 115000/230230 elapsed=58.572 s
NS recursion 120000/230230 elapsed=62.5328 s
NS recursion 125000/230230 elapsed=68.611 s
NS recursion 130000/230230 elapsed=75.1149 s
NS recursion 135000/230230 elapsed=81.1597 s
NS recursion 140000/230230 elapsed=90.2636 s
NS recursion 145000/230230 elapsed=99.9823 s
NS recursion 150000/230230 elapsed=106.599 s
NS recursion 155000/230230 elapsed=111.45 s
NS recursion 160000/230230 elapsed=118.689 s
NS recursion 165000/230230 elapsed=128.641 s
NS recursion 170000/230230 elapsed=137.886 s
NS recursion 175000/230230 elapsed=146.792 s
NS recursion 180000/230230 elapsed=157.823 s
NS recursion 185000/230230 elapsed=171.42 s
NS recursion 190000/230230 elapsed=183.711 s
NS recursion 195000/230230 elapsed=193.406 s
NS recursion 200000/230230 elapsed=200.591 s
