mode=ns total level=10 multidegrees=230230 dps=40
NS Schottky: 13 primitives, 20 fermion oscillator factors, 164 coefficients
NS recursion 5000/230230 elapsed=0.316864 s
NS recursion 10000/230230 elapsed=0.633206 s
NS recursion 15000/230230 elapsed=1.10942 s
NS recursion 20000/230230 elapsed=1.73307 s
NS recursion 25000/230230 elapsed=2.42492 s
NS recursion 30000/230230 elapsed=3.65757 s
NS recursion 35000/230230 elapsed=4.57296 s
NS recursion 40000/230230 elapsed=6.13509 s
NS recursion 45000/230230 elapsed=7.89317 s
NS recursion 50000/230230 elapsed=9.29986 s
NS recursion 55000/230230 elapsed=11.4999 s
NS recursion 60000/230230 elapsed=14.4547 s
NS recursion 65000/230230 elapsed=16.1922 s
NS recursion 70000/230230 elapsed=18.8166 s
NS recursion 75000/230230 elapsed=21.7517 s
NS recursion 80000/230230 elapsed=26.3979 s
NS recursion 85000/230230 elapsed=29.7049 s
NS recursion 90000/230230 elapsed=32.3215 s
NS recursion 95000/230230 elapsed=36.6007 s
NS recursion 100000/230230 elapsed=40.6537 s
NS recursion 105000/230230 elapsed=46.3444 s
NS recursion 110000/230230 elapsed=52.8418 s
NS recursion 115000/230230 elapsed=57.2442 s
NS recursion 120000/230230 elapsed=61.0301 s
NS recursion 125000/230230 elapsed=67.0147 s
NS recursion 130000/230230 elapsed=73.4525 s
NS recursion 135000/230230 elapsed=79.4095 s
NS recursion 140000/230230 elapsed=88.3762 s
NS recursion 145000/230230 elapsed=97.9851 s
NS recursion 150000/230230 elapsed=104.527 s
NS recursion 155000/230230 elapsed=109.318 s
NS recursion 160000/230230 elapsed=116.44 s
NS recursion 165000/230230 elapsed=126.278 s
NS recursion 170000/230230 elapsed=135.428 s
NS recursion 175000/230230 elapsed=144.22 s
NS recursion 180000/230230 elapsed=155.123 s
NS recursion 185000/230230 elapsed=168.574 s
NS recursion 190000/230230 elapsed=180.702 s
NS recursion 195000/230230 elapsed=190.242 s
NS recursion 200000/230230 elapsed=197.385 s
NS recursion 205000/230230 elapsed=206.484 s
NS recursion 210000/230230 elapsed=218.8 s
NS recursion 215000/230230 elapsed=233.174 s
NS recursion 220000/230230 elapsed=246.52 s
NS recursion 225000/230230 elapsed=259.233 s
NS recursion 230000/230230 elapsed=270.047 s
ns complete in 270.363 s
