branching: starting at level 15
branching: 138.461 s
numerator: 262 branches, 154.507 s
numerator: 283 branches, 169.727 s
numerator: 302 branches, 185.968 s
numerator: 322 branches, 201.938 s
numerator: 417 branches, 219.696 s
numerator: 437 branches, 238.02 s
numerator: 454 branches, 253.298 s
numerator: 457 branches, 277.489 s
numerator: 475 branches, 297.846 s
numerator: 493 branches, 312.974 s
numerator: 560 branches, 327.983 s
numerator: 576 branches, 346.057 s
numerator: 593 branches, 368.851 s
numerator: 604 branches, 390.466 s
numerator: 613 branches, 418.521 s
numerator: 615 branches, 442.644 s
numerator: 635 branches, 467.802 s
numerator: 645 branches, 489.309 s
numerator: 655 branches, 507.359 s
numerator: 732 branches, 523.2 s
numerator: 751 branches, 540.908 s
numerator: 769 branches, 558.02 s
numerator: 771 branches, 576.21 s
numerator: 788 branches, 592.069 s
numerator: 797 branches, 608.663 s
numerator: 883 branches, 625.185 s
numerator: 905 branches, 641.594 s
numerator: 924 branches, 657.383 s
numerator: 944 branches, 672.91 s
numerator: 1060 branches, 688.22 s
total computation: 693.748 s; saved /Users/yuchenwang/Desktop/Type0B-Matrix/C++/results/current_algorithm_2026-09-11/inserted_level15_40dps.json
