branching: starting at per-edge level 10
branching: 10.1589 s; direct boundary values=192, recursive values=3408, largest local relation=4, second Ward rows=0
numerator: 44 branches, 25.4044 s
numerator: 47 branches, 40.9333 s
numerator: 64 branches, 62.2378 s
numerator: 66 branches, 84.2241 s
numerator: 69 branches, 101.224 s
numerator: 84 branches, 122.961 s
numerator: 86 branches, 150.413 s
numerator: 88 branches, 168.801 s
numerator: 104 branches, 188.994 s
numerator: 106 branches, 210.962 s
numerator: 109 branches, 227.801 s
numerator: 126 branches, 247.749 s
numerator: 165 branches, 262.774 s
numerator: 206 branches, 281.544 s
numerator: 223 branches, 304.333 s
numerator: 224 branches, 321.411 s
numerator: 225 branches, 342.513 s
numerator: 226 branches, 363.573 s
numerator: 227 branches, 380.817 s
numerator: 230 branches, 396.079 s
numerator: 243 branches, 427.158 s
numerator: 244 branches, 461.613 s
numerator: 245 branches, 503.936 s
numerator: 246 branches, 546.281 s
numerator: 247 branches, 581.112 s
numerator: 248 branches, 602.813 s
numerator: 262 branches, 623.841 s
numerator: 263 branches, 650.634 s
numerator: 264 branches, 693.1 s
numerator: 265 branches, 745.294 s
numerator: 266 branches, 797.272 s
numerator: 267 branches, 840.084 s
numerator: 268 branches, 867.135 s
numerator: 282 branches, 888.211 s
numerator: 283 branches, 909.945 s
numerator: 284 branches, 944.369 s
numerator: 285 branches, 986.709 s
numerator: 286 branches, 1028.7 s
numerator: 287 branches, 1063.19 s
numerator: 288 branches, 1084.95 s
numerator: 303 branches, 1109.75 s
numerator: 304 branches, 1127.05 s
numerator: 305 branches, 1148.39 s
numerator: 306 branches, 1169.6 s
numerator: 307 branches, 1186.95 s
numerator: 309 branches, 1201.96 s
numerator: 326 branches, 1219.97 s
numerator: 383 branches, 1240.31 s
numerator: 385 branches, 1261.05 s
numerator: 387 branches, 1282.15 s
numerator: 402 branches, 1301.09 s
numerator: 403 branches, 1326.11 s
numerator: 404 branches, 1365.69 s
numerator: 405 branches, 1414.45 s
numerator: 406 branches, 1463.24 s
numerator: 407 branches, 1503.35 s
numerator: 408 branches, 1528.43 s
numerator: 422 branches, 1561.04 s
