branching: starting at per-edge level 10
branching: 9.36593 s; direct boundary values=96, recursive values=1704, largest local relation=4, second Ward rows=0
numerator: 144 branches, 24.5494 s
numerator: 186 branches, 39.6665 s
numerator: 236 branches, 54.9072 s
numerator: 253 branches, 70.5377 s
numerator: 266 branches, 86.6256 s
numerator: 323 branches, 102.264 s
numerator: 337 branches, 118.112 s
numerator: 352 branches, 133.555 s
numerator: 363 branches, 148.993 s
numerator: 379 branches, 164 s
numerator: 426 branches, 179.682 s
numerator: 438 branches, 195.219 s
numerator: 446 branches, 210.728 s
numerator: 456 branches, 228.484 s
numerator: 466 branches, 243.659 s
numerator: 487 branches, 258.887 s
numerator: 533 branches, 274.362 s
numerator: 544 branches, 289.752 s
numerator: 555 branches, 306.874 s
numerator: 567 branches, 322.866 s
numerator: 622 branches, 338.325 s
numerator: 641 branches, 353.666 s
numerator: 653 branches, 368.774 s
numerator: 665 branches, 383.938 s
numerator: 727 branches, 399.111 s
numerator: 764 branches, 414.757 s
numerator complete: 899 branches, 390.23 s CCY; computing auxiliary and recovery
total computation: 507.923 s; saved /Users/yuchenwang/Desktop/Type0B-Matrix/C++/results/per_edge_level10_2026-09-11/full_pipeline_40dps/ordinary_per_edge_level10_40dps.json
