branching: starting at per-edge level 10
branching: 10.0436 s; direct boundary values=192, recursive values=3408, largest local relation=4, second Ward rows=0
numerator: 86 branches, 26.0545 s
numerator: 204 branches, 41.3778 s
numerator: 242 branches, 56.3984 s
numerator: 247 branches, 72.1683 s
numerator: 266 branches, 91.4802 s
numerator: 285 branches, 108.532 s
numerator: 305 branches, 124.119 s
numerator: 384 branches, 139.528 s
numerator: 405 branches, 158.829 s
numerator: 423 branches, 178.318 s
numerator: 425 branches, 193.812 s
numerator: 427 branches, 209.422 s
numerator: 444 branches, 232.171 s
numerator: 446 branches, 252.554 s
numerator: 449 branches, 268.448 s
numerator: 465 branches, 291.158 s
numerator: 467 branches, 306.648 s
numerator: 485 branches, 326.258 s
numerator: 504 branches, 342.049 s
numerator: 565 branches, 359.077 s
numerator: 584 branches, 374.806 s
numerator: 587 branches, 392.904 s
numerator: 604 branches, 414.565 s
numerator: 606 branches, 436.14 s
numerator: 609 branches, 452.938 s
numerator: 623 branches, 473.58 s
numerator: 625 branches, 498.756 s
numerator: 635 branches, 519.125 s
numerator: 642 branches, 536.115 s
numerator: 644 branches, 557.788 s
numerator: 647 branches, 574.539 s
numerator: 662 branches, 591.469 s
numerator: 666 branches, 607.723 s
numerator: 721 branches, 623.193 s
numerator: 745 branches, 639.421 s
numerator: 762 branches, 660.082 s
numerator: 765 branches, 678.215 s
numerator: 779 branches, 700.844 s
numerator: 781 branches, 726.928 s
numerator: 790 branches, 745.207 s
numerator: 797 branches, 772.414 s
numerator: 798 branches, 787.997 s
numerator: 799 branches, 803.418 s
numerator: 801 branches, 824.424 s
numerator: 815 branches, 849.214 s
numerator: 817 branches, 869.385 s
numerator: 825 branches, 894.228 s
numerator: 832 branches, 909.332 s
numerator: 834 branches, 925.448 s
numerator: 849 branches, 942.346 s
numerator: 885 branches, 957.574 s
numerator: 922 branches, 974.531 s
numerator: 925 branches, 992.337 s
numerator: 941 branches, 1008.12 s
numerator: 943 branches, 1029.8 s
numerator: 946 branches, 1046.51 s
numerator: 960 branches, 1067.87 s
numerator: 962 branches, 1091.17 s
numerator: 964 branches, 1114.55 s
numerator: 977 branches, 1130.35 s
numerator: 979 branches, 1151.98 s
numerator: 982 branches, 1168.57 s
numerator: 996 branches, 1184.8 s
numerator: 999 branches, 1203.12 s
numerator: 1016 branches, 1219.21 s
numerator: 1076 branches, 1234.57 s
numerator: 1096 branches, 1252.4 s
numerator: 1113 branches, 1267.53 s
numerator: 1116 branches, 1288.1 s
numerator: 1118 branches, 1304.16 s
numerator: 1134 branches, 1319.18 s
numerator: 1136 branches, 1338.26 s
numerator: 1138 branches, 1357.4 s
numerator: 1155 branches, 1379.05 s
numerator: 1157 branches, 1396.72 s
numerator: 1173 branches, 1411.82 s
numerator: 1177 branches, 1429.19 s
numerator: 1198 branches, 1445.48 s
numerator: 1277 branches, 1461.42 s
numerator: 1297 branches, 1478.56 s
numerator: 1316 branches, 1496.61 s
numerator: 1335 branches, 1514.53 s
numerator: 1354 branches, 1529.98 s
numerator: 1435 branches, 1545.11 s
numerator: 1497 branches, 1560.61 s
numerator complete: 1591 branches, 1460.24 s CCY; computing auxiliary and recovery
total computation: 1655.28 s; saved /Users/yuchenwang/Desktop/Type0B-Matrix/C++/results/per_edge_level10_2026-09-11/optimized_full_pipeline_40dps/inserted_per_edge_level10_40dps.json
