branching: starting at per-edge level 10
branching: 9.93815 s; direct boundary values=96, recursive values=1704, largest local relation=4, second Ward rows=0
numerator: 148 branches, 25.0306 s
numerator: 226 branches, 40.3673 s
numerator: 247 branches, 56.4203 s
numerator: 267 branches, 72.5432 s
numerator: 326 branches, 87.5926 s
numerator: 345 branches, 103.804 s
numerator: 362 branches, 119.617 s
numerator: 385 branches, 134.965 s
numerator: 433 branches, 150.722 s
numerator: 445 branches, 167.942 s
numerator: 456 branches, 183.669 s
numerator: 473 branches, 199.023 s
numerator: 525 branches, 214.692 s
numerator: 544 branches, 230.574 s
numerator: 557 branches, 246.432 s
numerator: 577 branches, 261.534 s
numerator: 635 branches, 276.849 s
numerator: 654 branches, 292.215 s
numerator: 676 branches, 307.708 s
numerator: 755 branches, 322.896 s
numerator complete: 899 branches, 296.593 s CCY; computing auxiliary and recovery
total computation: 416.537 s; saved /Users/yuchenwang/Desktop/Type0B-Matrix/C++/results/per_edge_level10_2026-09-11/optimized_full_pipeline_40dps/ordinary_per_edge_level10_40dps.json
