t,minus_imag_I_1_3,rqmc_standard_error,status
0.05,2.8124875934412013e-05,4.372690068243087e-06,new exact-design point
0.15,0.0007295873436742255,0.00011314902473115866,new exact-design point
0.25,0.003120103952490345,0.0004805028089488119,new exact-design point
0.35,0.007592565462376813,0.0011539815797627822,new exact-design point
0.45,0.013682446329560923,0.0020362934220920018,new exact-design point
0.55,0.02008362953562365,0.002898313424346664,new exact-design point
0.65,0.024862287464008162,0.003438112884566817,new exact-design point
0.75,0.025817833416466707,0.003372487798152532,pre-existing exact-design point
0.85,0.020930827092109958,0.002537554419767446,new exact-design point
0.95,0.008850836186757959,0.0009737814642799238,new exact-design point
