task_id,task_kind,t_index,t,replicate,sobol_power,seed
0,production,0,0.1805,0,15,2026082400
1,production,0,0.1805,1,15,2026082401
2,production,0,0.1805,2,15,2026082402
3,production,0,0.1805,3,15,2026082403
4,production,0,0.1805,4,15,2026082404
5,production,0,0.1805,5,15,2026082405
6,production,0,0.1805,6,15,2026082406
7,production,0,0.1805,7,15,2026082407
8,production,0,0.1805,8,15,2026082408
9,production,0,0.1805,9,15,2026082409
10,production,0,0.1805,10,15,2026082410
11,production,0,0.1805,11,15,2026082411
12,production,0,0.1805,12,15,2026082412
13,production,0,0.1805,13,15,2026082413
14,production,1,0.1855,0,15,2026082400
15,production,1,0.1855,1,15,2026082401
16,production,1,0.1855,2,15,2026082402
17,production,1,0.1855,3,15,2026082403
18,production,1,0.1855,4,15,2026082404
19,production,1,0.1855,5,15,2026082405
20,production,1,0.1855,6,15,2026082406
21,production,1,0.1855,7,15,2026082407
22,production,1,0.1855,8,15,2026082408
23,production,1,0.1855,9,15,2026082409
24,production,1,0.1855,10,15,2026082410
25,production,1,0.1855,11,15,2026082411
26,production,1,0.1855,12,15,2026082412
27,production,1,0.1855,13,15,2026082413
28,production,2,0.1905,0,15,2026082400
29,production,2,0.1905,1,15,2026082401
30,production,2,0.1905,2,15,2026082402
31,production,2,0.1905,3,15,2026082403
32,production,2,0.1905,4,15,2026082404
33,production,2,0.1905,5,15,2026082405
34,production,2,0.1905,6,15,2026082406
35,production,2,0.1905,7,15,2026082407
36,production,2,0.1905,8,15,2026082408
37,production,2,0.1905,9,15,2026082409
38,production,2,0.1905,10,15,2026082410
39,production,2,0.1905,11,15,2026082411
40,production,2,0.1905,12,15,2026082412
41,production,2,0.1905,13,15,2026082413
42,production,3,0.1955,0,15,2026082400
43,production,3,0.1955,1,15,2026082401
44,production,3,0.1955,2,15,2026082402
45,production,3,0.1955,3,15,2026082403
46,production,3,0.1955,4,15,2026082404
47,production,3,0.1955,5,15,2026082405
48,production,3,0.1955,6,15,2026082406
49,production,3,0.1955,7,15,2026082407
50,production,3,0.1955,8,15,2026082408
51,production,3,0.1955,9,15,2026082409
52,production,3,0.1955,10,15,2026082410
53,production,3,0.1955,11,15,2026082411
54,production,3,0.1955,12,15,2026082412
55,production,3,0.1955,13,15,2026082413
56,production,4,0.2005,0,15,2026082400
57,production,4,0.2005,1,15,2026082401
58,production,4,0.2005,2,15,2026082402
59,production,4,0.2005,3,15,2026082403
60,production,4,0.2005,4,15,2026082404
61,production,4,0.2005,5,15,2026082405
62,production,4,0.2005,6,15,2026082406
63,production,4,0.2005,7,15,2026082407
64,production,4,0.2005,8,15,2026082408
65,production,4,0.2005,9,15,2026082409
66,production,4,0.2005,10,15,2026082410
67,production,4,0.2005,11,15,2026082411
68,production,4,0.2005,12,15,2026082412
69,production,4,0.2005,13,15,2026082413
70,production,5,0.2055,0,15,2026082400
71,production,5,0.2055,1,15,2026082401
72,production,5,0.2055,2,15,2026082402
73,production,5,0.2055,3,15,2026082403
74,production,5,0.2055,4,15,2026082404
75,production,5,0.2055,5,15,2026082405
76,production,5,0.2055,6,15,2026082406
77,production,5,0.2055,7,15,2026082407
78,production,5,0.2055,8,15,2026082408
79,production,5,0.2055,9,15,2026082409
80,production,5,0.2055,10,15,2026082410
81,production,5,0.2055,11,15,2026082411
82,production,5,0.2055,12,15,2026082412
83,production,5,0.2055,13,15,2026082413
84,production,6,0.2105,0,15,2026082400
85,production,6,0.2105,1,15,2026082401
86,production,6,0.2105,2,15,2026082402
87,production,6,0.2105,3,15,2026082403
88,production,6,0.2105,4,15,2026082404
89,production,6,0.2105,5,15,2026082405
90,production,6,0.2105,6,15,2026082406
91,production,6,0.2105,7,15,2026082407
92,production,6,0.2105,8,15,2026082408
93,production,6,0.2105,9,15,2026082409
94,production,6,0.2105,10,15,2026082410
95,production,6,0.2105,11,15,2026082411
96,production,6,0.2105,12,15,2026082412
97,production,6,0.2105,13,15,2026082413
98,production,7,0.2155,0,15,2026082400
99,production,7,0.2155,1,15,2026082401
100,production,7,0.2155,2,15,2026082402
101,production,7,0.2155,3,15,2026082403
102,production,7,0.2155,4,15,2026082404
103,production,7,0.2155,5,15,2026082405
104,production,7,0.2155,6,15,2026082406
105,production,7,0.2155,7,15,2026082407
106,production,7,0.2155,8,15,2026082408
107,production,7,0.2155,9,15,2026082409
108,production,7,0.2155,10,15,2026082410
109,production,7,0.2155,11,15,2026082411
110,production,7,0.2155,12,15,2026082412
111,production,7,0.2155,13,15,2026082413
112,production,8,0.2205,0,15,2026082400
113,production,8,0.2205,1,15,2026082401
114,production,8,0.2205,2,15,2026082402
115,production,8,0.2205,3,15,2026082403
116,production,8,0.2205,4,15,2026082404
117,production,8,0.2205,5,15,2026082405
118,production,8,0.2205,6,15,2026082406
119,production,8,0.2205,7,15,2026082407
120,production,8,0.2205,8,15,2026082408
121,production,8,0.2205,9,15,2026082409
122,production,8,0.2205,10,15,2026082410
123,production,8,0.2205,11,15,2026082411
124,production,8,0.2205,12,15,2026082412
125,production,8,0.2205,13,15,2026082413
126,production,9,0.2255,0,15,2026082400
127,production,9,0.2255,1,15,2026082401
128,production,9,0.2255,2,15,2026082402
129,production,9,0.2255,3,15,2026082403
130,production,9,0.2255,4,15,2026082404
131,production,9,0.2255,5,15,2026082405
132,production,9,0.2255,6,15,2026082406
133,production,9,0.2255,7,15,2026082407
134,production,9,0.2255,8,15,2026082408
135,production,9,0.2255,9,15,2026082409
136,production,9,0.2255,10,15,2026082410
