t,q5_worldsheet,q5_qmc_standard_error,q5_discretization_error,q5_combined_error,q5_matrix_model,q5_residual,q5_pull,amplitude_imaginary_worldsheet,amplitude_imaginary_qmc_standard_error,amplitude_imaginary_discretization_error,amplitude_imaginary_combined_error,amplitude_imaginary_matrix_model,amplitude_imaginary_residual,amplitude_imaginary_pull
0.14,0.9827809629734637,0.10209692156224734,0.0010123133273445607,0.10210194009302861,0.8969999999999996,0.08578096297346416,0.8401501763365725,-3.6999423204116834e-05,3.84371223196059e-06,3.811124820760329e-08,3.843901168001513e-06,-3.3769968960000006e-05,-3.2294542441168276e-06,-0.8401501763365723
0.155,0.6526369158209279,0.04907358413591066,0.0010123133273445607,0.04908402426673084,0.613265625,0.03937129082092783,0.8021202704769603,-4.525138008965317e-05,3.402577075037806e-06,7.01899847143481e-08,3.4033009542981988e-06,-4.2521523407677004e-05,-2.7298566819761654e-06,-0.8021202704769594
0.17,0.38541931074301894,0.020140514753271416,0.0010123133273445607,0.020165939422686536,0.37087499999999973,0.014544310743019206,0.7212315002125298,-4.651542603496032e-05,2.430715322763035e-06,1.2217391394199465e-07,2.4337837713245834e-06,-4.4760104514374984e-05,-1.7553215205853354e-06,-0.7212315002125288
0.18,0.23708150449170343,0.00962789526864132,0.0010123133273445607,0.009680968214834988,0.23100000000000023,0.0060815044917031935,0.628191763132119,-4.031834618514411e-05,1.6373306526278435e-06,1.7215513823914257e-07,1.6463562972992383e-06,-3.928411872000003e-05,-1.0342274651440822e-06,-0.628191763132123
0.19,0.10937850462596993,0.0034973266237586283,0.0010123133273445607,0.003640888873059756,0.10762500000000008,0.0017535046259698484,0.4816144318341212,-2.5729040562956657e-05,8.226740607974012e-07,2.3812586166483126e-07,8.564441232809671e-07,-2.5316564713125023e-05,-4.124758498316337e-07,-0.48161443183411967
0.195,0.052527012040337086,0.0015108135555948192,0.0010123133273445607,0.0018186082240242056,0.051890624999999815,0.0006363870403372704,0.3499308052886052,-1.4439773117258442e-05,4.153254509987108e-07,2.7828681287272067e-07,4.999387767178489e-07,-1.4264829138526565e-05,-1.7494397873187615e-07,-0.3499308052886034
0.199,0.010170623178828856,0.0002715346015696898,0.0010123133273445607,0.0010480979498925784,0.010075124999999784,9.54981788290725e-05,0.09111570043511705,-3.158173803442291e-06,8.43167080647148e-08,3.143427275872423e-07,3.254545400602941e-07,-3.128519785064908e-06,-2.9654018377383004e-08,-0.09111570043511842
0.201,-0.010006749333061392,0.0002584308381769593,0.0010123133273445607,0.0010447797714543776,-0.009925125000000227,-8.162433306116434e-05,-0.07812587426682259,3.299433425576809e-06,8.5210023485222e-08,3.337807631857295e-07,3.444856252083679e-07,3.272520184935052e-06,2.6913240641756916e-08,0.07812587426682316
0.205,-0.04842832755290434,0.0011807554082915715,0.0010123133273445607,0.0015553011306268672,-0.04814062499999983,-0.0002877025529045077,-0.18498189658522823,1.797184406981156e-05,4.3818056816480304e-07,3.75671392925017e-07,5.771751950486543e-07,1.786507710756951e-05,1.067669622420496e-07,0.1849818965852291
0.21,-0.09296081984131274,0.0021464474988580743,0.0010123133273445607,0.0023731867052706784,-0.09262500000000008,-0.0003358198413126595,-0.14150586659146017,3.986444461384614e-05,9.204623795360447e-07,4.341109366147309e-07,1.0176950905991816e-06,3.9720434788125024e-05,1.4400982572111915e-07,0.14150586659146744
0.22,-0.17104564911463382,0.0037432624638746655,0.0010123133273445607,0.003877730282803646,-0.17100000000000012,-4.564911463370014e-05,-0.011772122170574295,9.696569638117434e-05,2.1220536940045654e-06,5.738799393612343e-07,2.1982834360108516e-06,9.693981792000008e-05,2.5878461174259817e-08,0.011772122170569851
0.24,-0.28726285383014827,0.006514177067889835,0.0010123133273445607,0.006592365367949596,-0.288,0.0007371461698517101,0.11181816066135036,0.00027448393130597164,6.224393119323507e-06,9.672804475000384e-07,6.299103203472514e-06,0.0002751882854399999,-7.043541340282801e-07,-0.11181816066134462
0.26,-0.35571971893383125,0.008938384304285658,0.0010123133273445607,0.008995526234958109,-0.35700000000000004,0.001280281066168787,0.14232419902166502,0.000549437165064732,1.3806039617723124e-05,1.5635977853589354e-06,1.3894299837002216e-05,0.0005514146601600002,-1.9774950952681798e-06,-0.14232419902166418
0.28,-0.3806147268278922,0.010728303082375193,0.0010123133273445607,0.010775957743978977,-0.384,0.0033852731721077944,0.3141505611414728,0.0009170727320898502,2.5849326168849612e-05,2.4391198852866106e-06,2.5964147765685935e-05,0.0009252293836800005,-8.156651590150265e-06,-0.3141505611414694
0.3,-0.3648985597555491,0.011603217328847767,0.0010123133273445607,0.01164729284654561,-0.375,0.010101440244450921,0.8672779484072848,0.0013300552503089761,4.2293727163650105e-05,3.6898820781709224e-06,4.245438242565874e-05,0.0013668749999999996,-3.6819749691023454e-05,-0.8672779484072815
0.32,-0.32066290410377485,0.011697432386599978,0.0010123133273445607,0.011741154232518944,-0.33599999999999997,0.015337095896225117,1.306268156647381,0.0017215458577076216,6.280011193452268e-05,5.434815792812289e-06,6.303484180745106e-05,0.00180388626432,-8.234040661237829e-05,-1.3062681566473797
