t,Q5_order8_estimate,Q5_propagated_statistical_error,Q5_available_numerical_envelope_proxy,Q5_matrix_model,Q5_worldsheet_minus_matrix,conservative_proxy_pull
0.1805,0.23407481403429334,0.002485994444641715,0.009034222167747439,0.22444560937499958,0.00962920465929376,1.0658587402986872
0.1855,0.16788100076781756,0.0017980561887927869,0.0065026894069049376,0.16114982812499967,0.00673117264281789,1.0351367290694118
0.1905,0.10602902671254268,0.0011445862303474394,0.004117842492080209,0.10187592187500094,0.004153104837541735,1.0085633060344938
0.1955,0.04838547375362206,0.0005261155487282539,0.0018824212335319449,0.04653014062500027,0.0018553331286217875,0.9856099663414163
0.2005,-0.005175914712589928,5.664896683508755e-05,0.0002015359721171777,-0.00498126562500012,-0.00019464908758980853,-0.9658280134557569
0.2055,-0.05477562774829529,0.000602996687927972,0.002132675864988033,-0.05275204687499979,-0.0020235808732954955,-0.9488459575674197
0.2105,-0.10052962853447937,0.0011122993390607462,0.003910315356665133,-0.09687595312500008,-0.003653675409479293,-0.9343684782997367
0.2155,-0.14255045929549734,0.001584052687563829,0.00553442950736111,-0.13744673437500055,-0.005103724920496794,-0.9221772386311083
0.2205,-0.18094822477423314,0.002017897192859608,0.007005643956101737,-0.17455814062499897,-0.006390084149234171,-0.9121337295008507
0.2255,-0.21583146597009556,0.0024136301193316383,0.008325233143066256,-0.20830392187500024,-0.007527544095095318,-0.9041841790778795
0.2305,-0.24730792908017293,0.002771215447451758,0.009495125377072419,-0.2387778281249986,-0.008530100955174341,-0.8983663318202947
0.2355,-0.27548522429290073,0.003090794497428618,0.010517915317444386,-0.2660736093750007,-0.009411614917900046,-0.8948175217089364
0.2405,-0.3004713545267942,0.0033726982438418247,0.01139688364763351,-0.290285015624999,-0.010186338901795211,-0.8937828284234822
0.2455,-0.32237507422860606,0.003617461059035884,0.012136022467947823,-0.31150579687500013,-0.010869277353605933,-0.8956210638462921
0.2505,-0.34130601147666834,0.003825834590876992,0.012740063021708456,-0.32982970312500015,-0.011476308351668185,-0.9008046767204453
0.2555,-0.35737445135637774,0.0039987993463006695,0.013214499514040409,-0.3453504843750004,-0.012023966981377365,-0.9099071038295395
0.2605,-0.3706906339167823,0.004137570098956198,0.013565598612471263,-0.35816189062500214,-0.012528743291780164,-0.9235673006174688
0.2655,-0.3813633668234407,0.004243589302140058,0.013800378258404501,-0.3683576718749997,-0.013005694948441004,-0.9424158312849482
0.2705,-0.3894976962666962,0.004318500156894198,0.013926531130410535,-0.37603157812500143,-0.013466118141694794,-0.9669398657566374
0.2755,-0.3951913342023556,0.004364087876286032,0.013952257069142573,-0.38127735937499807,-0.013913974827357511,-0.9972561972163108
0.2805,-0.3985295390314015,0.004382174351949501,0.013885955286266263,-0.38418876562499804,-0.01434077340640344,-1.0327538228923299
0.2855,-0.3995782627234977,0.004374449053950465,0.013735713772782085,-0.3848595468749991,-0.014718715848498598,-1.0715654164011756
0.2905,-0.39837576446298084,0.004342220726192671,0.013508528535461913,-0.38338345312500266,-0.014992311337978181,-1.1098404462500202
0.2955,-0.3949238842526691,0.004286087806546872,0.013209211981563418,-0.3798542343749993,-0.015069649877669788,-1.1408439730320818
0.3005,-0.38918252617251914,0.004205567373820823,0.012839061659608993,-0.3743656406250011,-0.014816885547518033,-1.1540473860431069
0.3055,-0.38107642570165,0.0040988287484652434,0.01239467115400941,-0.3670114218749987,-0.014065003826651323,-1.134762161245528
0.3105,-0.3705366490423453,0.003962924648725302,0.011867997267769666,-0.3578853281250005,-0.012651320917344777,-1.066003019035268
0.3155,-0.35763418796687535,0.0037954860095514697,0.01125044427950558,-0.3470811093750008,-0.010553078591874543,-0.938014386782805
0.3205,-0.3429622864298279,0.0036003933443955875,0.010548109878958115,-0.3346925156250009,-0.008269770804826992,-0.7840049923374363
0.3255,-0.32862878241302734,0.003404809116389864,0.009831970622206424,-0.3208132968749986,-0.007815485538028744,-0.794905298066772
