t,p1,p2,p1_p2_minus_q,pillow_h_order10,pillow_h_order8,c_recursion_order22,c_recursion_order20,ccy_plane_h_order10,ccy_plane_h_order8,relative_h10_vs_c22,relative_h_truncation_shift,relative_c_truncation_shift,relative_ccy_h10_vs_c22,relative_ccy_h_truncation_shift,map_residual
0.12,0.2581433351655463,0.02018708661814927,0.0,0.7768517231377391,0.7768517578869228,0.7768503449529901,0.7768483394558995,0.7764878787753077,0.7758584807354374,1.7740672421494605e-06,4.4730778258779015e-08,2.5815812286250613e-06,0.00046658430421932126,0.0008112278920681528,2.999545952778076e-67
0.13,0.22444123803885047,0.023218379618734665,0.0,0.7418423011674793,0.7418423088200385,0.7418421074920135,0.7418417424312708,0.7417065131875269,0.7414041791860655,2.610737026706153e-07,1.0315614450635357e-08,4.921005679674957e-07,0.0001827805446971647,0.0004077856720382454,6.665769467395092e-67
0.14,0.19858556683361037,0.026241392816080723,0.0,0.7135487301012933,0.7135487319525512,0.713548697728858,0.713548621701187,0.7134927038489187,0.713337601404739,4.536822145516629e-08,2.5944379431399097e-09,1.065486900760284e-07,7.847240155776124e-05,0.00021743203200611704,2.3857333303486482e-67
0.15,0.17803723843764555,0.029270066827676276,0.0,0.6899621948748175,0.6899621952770537,0.6899621886193043,0.6899621708179047,0.6899370677332115,0.6898526620780902,9.066457994167452e-09,5.829830056360863e-10,2.5800544334166986e-08,3.640907647859104e-05,0.00012235316287262398,3.4795351796934316e-67
0.16,0.16127096056509785,0.03231308258241141,0.0,0.6698591032625598,0.6698591032762842,0.6698591018929976,0.6698590972709453,0.6698469900496936,0.669798498459779,2.044552715160734e-09,2.048841908666775e-11,6.9000365783745415e-09,1.808118045980266e-05,7.239728071368482e-05,4.8453211420784435e-67
0.17,0.14730656340620094,0.035376304669568134,0.0,0.6524373478600579,0.6524373477766681,0.652437347525071,0.6524373462085973,0.6524311170507693,0.652401798644151,5.13439223821373e-10,1.27812885356869e-10,2.0177780614915196e-09,9.54953655758602e-06,4.493918729106793e-05,4.2777156676310465e-67
0.18,0.13548165332655263,0.03846396717882023,0.0,0.6371421507784985,0.6371421506838614,0.6371421506876955,0.6371421502797885,0.6371387463307596,0.6371201244186816,1.4251596046692723e-10,1.4853378296777449e-10,6.402135982938766e-10,5.343167034524243e-06,2.9228259105848063e-05,7.275866300018921e-67
0.19,0.1253306626281464,0.04157930515652211,0.0,0.6235737564255927,0.6235737563450854,0.6235737563983281,0.6235737562616632,0.6235717847784626,0.6235593676040749,4.372290601264017e-11,1.2910627353918594e-10,2.191640750096389e-10,3.161806995984485e-06,1.991337959592241e-05,9.00362757274887e-67
0.2,0.11651585752828886,0.04472491536716025,0.0,0.6114346430028906,0.6114346429429651,0.6114346429937375,0.6114346429444041,0.6114334329448305,0.6114247398280354,1.496995596712003e-11,9.800809607621537e-11,8.068474688498302e-11,1.9790322985892415e-06,1.4217803482428687e-05,9.284205238393426e-67
0.21,0.10878576855006558,0.047902974224854886,0.0,0.600497495097093,0.6004974950581835,0.6004974950935973,0.6004974950744204,0.600496707031976,0.6004903142541805,5.821343626238042e-12,6.479543554189936e-11,3.193509307277228e-11,1.3123478912474417e-06,1.0645929907006748e-05,4.3429483759313906e-67
0.22,0.10194900857458129,0.05111537561517894,0.0,0.590584829179284,0.5905848291600396,0.5905848291777475,0.5905848291696905,0.5905842833015471,0.5905793430393587,2.601696250266439e-12,3.258531188190524e-11,1.3642479967922397e-11,9.242977019359048e-07,8.365111727441693e-06,5.076956177446243e-67
0.23,0.09585716607664647,0.05436382150832652,0.0,0.5815555183441973,0.581555518342902,0.5815555183434339,0.5815555183397394,0.5815551151936169,0.5815511034542864,1.3127164330777568e-12,2.227292765617553e-12,6.3527616498273735e-12,6.932267070143452e-07,6.898343596492967e-06,2.818666540268017e-67
0.24,0.09039327648298823,0.05764988359356072,0.0,0.5732955857016829,0.5732955857167193,0.5732955857012809,0.5732955856993992,0.5732952677239348,0.5732918474724361,7.014109384945822e-13,2.6227888292994328e-11,3.2821136711239384e-12,5.546481674887439e-07,5.965986632723469e-06,7.042447559034314e-67
0.25,0.08546384406979456,0.060975046507726643,0.0,0.5657117383213767,0.565711738351356,0.5657117383211793,0.5657117383200878,0.565711470463957,0.5657084147260573,3.4891695099377203e-13,5.2994097032216096e-11,1.929440152061598e-12,4.734871210098259e-07,5.401612951434009e-06,7.187388564295857e-67
0.26,0.0809931925754053,0.06434073903227347,0.0,0.5587267169885781,0.5587267170323568,0.5587267169885185,0.5587267169877773,0.5587264764889492,0.558723623658216,1.0664211045426871e-13,7.83543383601618e-11,1.326616312792163e-12,4.3044222156975723e-07,5.105978362704994e-06,5.5529135817905946e-67
0.27,0.07691938343191995,0.06774835723296109,0.0,0.5522758822258043,0.5522758822824635,0.5522758822258488,0.5522758822252481,0.5522756529911274,0.5522728798996255,8.061703025420525e-14,1.0259244617384622e-10,1.087392392762883e-12,4.150728444860761e-07,5.021234253668665e-06,9.904623123755477e-68
0.28,0.07319121364193314,0.07119928209387161,0.0,0.5463046622040997,0.5463046622729196,0.546304662204227,0.5463046622036459,0.5463044315455914,0.5463016365538568,2.331016419021566e-13,1.259734909233609e-10,1.063742142557764e-12,4.2221612153641997e-07,5.116206043632231e-06,5.463942159587749e-67
0.29,0.06976597240776392,0.07469489332746541,0.0,0.5407666142146511,0.5407666142950863,0.5407666142148435,0.5407666142141837,0.5407663708062,0.5407634626350243,3.557989287118807e-13,1.4874298447972268e-10,1.220090778293037e-12,4.5011773478672854e-07,5.377898797990712e-06,1.588613054249602e-67
0.3,0.06660774069962187,0.07823658049573215,0.0,0.5356219310875147,0.5356219311791774,0.5356219310877526,0.5356219310868995,0.5356216635537895,0.5356185534261046,4.4425565905076e-13,1.7113336590037398e-10,1.5926994144918924e-12,4.994828396472318e-07,5.806609321074195e-06,9.232516707893168e-68
0.31,0.06368608567778859,0.0818257522255334,0.0,0.5308362756695647,0.5308362757722144,0.5308362756698217,0.5308362756686068,0.5308359714754376,0.5308325671444498,4.842274785723191e-13,1.933734770516646e-10,2.288856745868224e-12,5.73047468848189e-07,6.413191651268327e-06,4.141240940678472e-67
0.32,0.060975046507726643,0.08546384406979456,0.0,0.5263798608123927,0.5263798609259327,0.526379860812628,0.5263798608107789,0.5263795052609455,0.5263757060636448,4.46986709254747e-13,2.1569966585443197e-10,3.5129040057579844e-12,6.754659687409617e-07,7.217653202488557e-06,6.138607668108311e-67
0.33,0.058452338094959984,0.08915232541115665,0.0,0.5222267155890702,0.5222267157135526,0.5222267155892162,0.5222267155862811,0.5222262908047482,0.5222219832006914,2.7949275930603627e-13,2.3836839412300436e-10,5.620439301483582e-12,8.134100674586743e-07,8.248607288456486e-06,4.717057137025733e-67
0.34,0.05609871978282096,0.09289270569915267,0.0,0.5183540945196268,0.5183540946552648,0.518354094519568,0.5183540945147934,0.5183535783278519,0.5183486315688589,1.132861555131375e-13,2.616708007977912e-10,9.211121585819985e-12,9.958283760269366e-07,9.543304817852423e-06,1.3222458880864603e-67
