t,N,source_L,target_R,comparison,source_Z,target_Z,free_frame_power,ratio_real,ratio_imag,norm_ratio,phase_difference_rad,relative_gap
0.52,3,3.0,8,s=+1,2.0249938235145544e-10,6.249923877824212e-10,1.2893735355490177,0.2512871166027052,0.0,0.2512871166027052,0.0,0.7487128833972948
0.52,3,3.0,8,s=-1,2.2028599419649207e-10,6.802731951172118e-10,1.2893735355490177,0.2511451378968556,0.0,0.2511451378968556,0.0,0.7488548621031443
0.52,3,3.0,8,resolved_00,2.1195976409594155e-10,6.543976995615052e-10,1.2893735355490177,0.25120767931282184,4.232132507990705e-20,0.25120767931282184,1.6847146232024816e-19,0.7487923206871782
0.52,3,3.0,8,resolved_11,2.1082561245200606e-10,6.508678833381282e-10,1.2893735355490177,0.25121859159286897,9.660484312876262e-20,0.25121859159286897,3.8454495949616186e-19,0.748781408407131
0.52,3,3.0,12,s=+1,2.0249938235145544e-10,6.249924766999017e-10,1.2893735355490177,0.2512870808521672,0.0,0.2512870808521672,0.0,0.7487129191478328
0.52,3,3.0,12,s=-1,2.2028599419649207e-10,6.802728590544874e-10,1.2893735355490177,0.25114526196548215,0.0,0.25114526196548215,0.0,0.7488547380345179
0.52,3,3.0,12,resolved_00,2.1195976409594155e-10,6.54397553649333e-10,1.2893735355490177,0.2512077353250395,-2.7143458969356826e-20,0.2512077353250395,-1.0805184376283521e-19,0.7487922646749605
0.52,3,3.0,12,resolved_11,2.1082561245200606e-10,6.508677821050563e-10,1.2893735355490177,0.2512186306662883,5.0671384170647795e-20,0.2512186306662883,2.017023340834869e-19,0.7487813693337118
0.56,3,3.0,8,s=+1,1.9843212269519555e-10,6.213503924908193e-10,1.2657412389928568,0.2523076805451106,0.0,0.2523076805451106,0.0,0.7476923194548895
0.56,3,3.0,8,s=-1,2.157068334806735e-10,6.756765196520051e-10,1.2657412389928568,0.25222036301858625,0.0,0.25222036301858625,0.0,0.7477796369814138
0.56,3,3.0,8,resolved_00,2.0873226045991182e-10,6.538061492713057e-10,1.2657412389928568,0.25222936429877385,1.882168256258506e-19,0.25222936429877385,7.462129801940969e-19,0.7477706357012261
0.56,3,3.0,8,resolved_11,2.054066957159573e-10,6.432207628715189e-10,1.2657412389928568,0.25229556221897176,-3.27582335567446e-19,0.25229556221897176,-1.2984070456345622e-18,0.7477044377810282
0.56,3,3.0,12,s=+1,1.9843212269519555e-10,6.213505419865564e-10,1.2657412389928568,0.2523076198403713,0.0,0.2523076198403713,0.0,0.7476923801596287
0.56,3,3.0,12,s=-1,2.157068334806735e-10,6.75676319480871e-10,1.2657412389928568,0.25222043773962444,0.0,0.25222043773962444,0.0,0.7477795622603756
0.56,3,3.0,12,resolved_00,2.0873226045991182e-10,6.53806074407808e-10,1.2657412389928568,0.25222939318007853,2.089496324559725e-19,0.25222939318007853,8.284111134771412e-19,0.7477706068199215
0.56,3,3.0,12,resolved_11,2.054066957159573e-10,6.432207870596196e-10,1.2657412389928568,0.25229555273148224,5.1190859013629855e-20,0.25229555273148224,2.0290036213247168e-19,0.7477044472685177
0.6,3,3.0,8,s=+1,1.9088815499790868e-10,6.174702014262581e-10,1.2226013135427836,0.25285882677441973,0.0,0.25285882677441973,0.0,0.7471411732255803
0.6,3,3.0,8,s=-1,2.0722318856701438e-10,6.704552787731868e-10,1.2226013135427836,0.2528038475434593,0.0,0.2528038475434593,0.0,0.7471961524565407
0.6,3,3.0,8,resolved_00,2.017134444784784e-10,6.528143511963565e-10,1.2226013135427836,0.2527320349587892,-2.4703412024814337e-20,0.2527320349587892,-9.774547191392854e-20,0.7472679650412108
0.6,3,3.0,8,resolved_11,1.9639789908644474e-10,6.351111290030885e-10,1.2226013135427836,0.25293111396817375,4.431412673661673e-20,0.25293111396817375,1.7520235467034223e-19,0.7470688860318262
0.6,3,3.0,12,s=+1,1.9088815499790868e-10,6.174704431773435e-10,1.2226013135427836,0.2528587277755179,0.0,0.2528587277755179,0.0,0.7471412722244821
0.6,3,3.0,12,s=-1,2.0722318856701438e-10,6.704552915790674e-10,1.2226013135427836,0.25280384271483625,0.0,0.25280384271483625,0.0,0.7471961572851638
0.6,3,3.0,12,resolved_00,2.017134444784784e-10,6.528144594598787e-10,1.2226013135427836,0.25273199304540955,-1.9942791858938773e-19,0.25273199304540955,-7.890885367787828e-19,0.7472680069545905
0.6,3,3.0,12,resolved_11,1.9639789908644474e-10,6.351112752965323e-10,1.2226013135427836,0.25293105570725927,-1.3900957415364683e-19,0.25293105570725927,-5.495947255861518e-19,0.7470689442927407
0.64,3,3.0,8,s=+1,1.808819480138137e-10,6.130471811307844e-10,1.1666966287645855,0.2528968289088828,0.0,0.2528968289088828,0.0,0.7471031710911171
0.64,3,3.0,8,s=-1,1.959736464866229e-10,6.641045866405856e-10,1.1666966287645855,0.2529316929924499,0.0,0.2529316929924499,0.0,0.7470683070075501
0.64,3,3.0,8,resolved_00,1.9195078301927746e-10,6.510160345708065e-10,1.1666966287645855,0.25272037638538736,-1.033594653269371e-19,0.25272037638538736,-4.0898746197385566e-19,0.7472796236146126
0.64,3,3.0,8,resolved_11,1.8490481148115922e-10,6.261357332005638e-10,1.1666966287645855,0.2531172712389131,-1.9355385376647664e-20,0.2531172712389131,-7.646805483446622e-20,0.7468827287610869
0.64,3,3.0,12,s=+1,1.808819480138137e-10,6.130474967590535e-10,1.1666966287645855,0.2528966987046347,0.0,0.2528966987046347,0.0,0.7471033012953653
0.64,3,3.0,12,s=-1,1.959736464866229e-10,6.641047452287482e-10,1.1666966287645855,0.2529316325923809,0.0,0.2529316325923809,0.0,0.7470683674076191
0.64,3,3.0,12,resolved_00,1.9195078301927746e-10,6.510163969281208e-10,1.1666966287645855,0.2527202357206095,-1.0374568586755003e-19,0.2527202357206095,-4.1051594294271035e-19,0.7472797642793905
0.64,3,3.0,12,resolved_11,1.8490481148115922e-10,6.261358450596812e-10,1.1666966287645855,0.25311722601953335,1.0228593584056497e-19,0.25311722601953335,4.0410499691819257e-19,0.7468827739804667
0.68,3,3.0,8,s=+1,1.6959481839075615e-10,6.077971955567498e-10,1.1052930040739384,0.25245063424747854,0.0,0.25245063424747854,0.0,0.7475493657525214
0.68,3,3.0,8,s=-1,1.832510090927752e-10,6.561211740574858e-10,1.1052930040739384,0.25268816423108176,0.0,0.25268816423108176,0.0,0.7473118357689182
0.68,3,3.0,8,resolved_00,1.8068253314534995e-10,6.479554296021415e-10,1.1052930040739384,0.252286270132259,-1.58360790019289e-19,0.252286270132259,-6.277027677180754e-19,0.747713729867741
0.68,3,3.0,8,resolved_11,1.7216329433818145e-10,6.159629400120943e-10,1.1052930040739384,0.2528765512232607,2.588667838632283e-19,0.2528765512232607,1.023688367351542e-18,0.7471234487767393
0.68,3,3.0,12,s=+1,1.6959481839075615e-10,6.077975592502021e-10,1.1052930040739384,0.25245048318625535,0.0,0.25245048318625535,0.0,0.7475495168137447
0.68,3,3.0,12,s=-1,1.832510090927752e-10,6.561211546878434e-10,1.1052930040739384,0.25268817169080066,0.0,0.25268817169080066,0.0,0.7473118283091993
0.68,3,3.0,12,resolved_00,1.8068253314534995e-10,6.479560369556692e-10,1.1052930040739384,0.2522860336548633,-1.8254362216256935e-19,0.2522860336548633,-7.23558175290416e-19,0.7477139663451366
0.68,3,3.0,12,resolved_11,1.7216329433818145e-10,6.159626769823765e-10,1.1052930040739384,0.2528766592071538,-3.544897520904923e-20,0.2528766592071538,-1.401828674903911e-19,0.7471233407928461
0.6,4,3.0,8,s=+1,1.9261753579338848e-10,6.245924096045389e-10,1.2226013135427836,0.2522401769051358,0.0,0.2522401769051358,0.0,0.7477598230948642
0.6,4,3.0,8,s=-1,2.0893570557527144e-10,6.778775540379754e-10,1.2226013135427836,0.25210215161614985,0.0,0.25210215161614985,0.0,0.7478978483838501
0.6,4,3.0,8,resolved_00,2.0343309768408112e-10,6.60142236632974e-10,1.2226013135427836,0.25205727329149097,-6.356207562657435e-20,0.25205727329149097,-2.521731461923265e-19,0.747942726708509
