N,comparison,source_Z,target_Z,ratio,source_L3_Z,source_L3_to_L5_relative_change,source_Z_relative_step,target_Z_relative_step,ratio_relative_step
3,s=+1,1.909387480166164e-10,6.174704431773435e-10,0.25292574548201147,1.9088815499791034e-10,0.00026504011580286146,,,
3,s=-1,2.072498596036154e-10,6.704552915790674e-10,0.25283638029225963,2.0722318856701208e-10,0.0001287068150419568,,,
3,resolved_00,2.017199465973768e-10,6.528144594598787e-10,0.2527401397183914,2.017134444784801e-10,3.223443491084943e-05,,,
3,resolved_11,1.9646866102285507e-10,6.351112752965323e-10,0.25302218647476443,1.9639789908644241e-10,0.00036029884607624574,,,
3,spin_sum,3.9818860762023184e-10,1.287925734756411e-09,0.25287922465962615,3.981113435649225e-10,0.00019407649783964587,,,
4,s=+1,1.9266834793971856e-10,6.245926543903294e-10,0.25230661851067154,1.9261753579338934e-10,0.0002637981330200212,0.00905840192767804,0.011534497386363807,-0.0024478606167989136
4,s=-1,2.0896249878077325e-10,6.778775669061796e-10,0.25213447555384366,2.0893570557527206e-10,0.00012823660478433752,0.008263644571018913,0.01107050003234522,-0.002776122398226999
4,resolved_00,2.034396195979705e-10,6.60142345560537e-10,0.2520653124679657,2.0343309768408182e-10,3.205925664473419e-05,0.008525051833501163,0.011225067083718177,-0.002670043829118618
4,resolved_11,1.9819122712252138e-10,6.423278757359721e-10,0.25237294676747724,1.9812014368457963e-10,0.0003587895537513486,0.008767638007498357,0.01136273393362508,-0.002565939834497266
4,spin_sum,4.0163084672049186e-10,1.3024702212965091e-09,0.2522170257915241,4.0155324136866145e-10,0.00019326291967147746,0.00864474531512216,0.011292954358776752,-0.0026186368966978346
5,s=+1,1.9280947170032199e-10,6.288483713640423e-10,0.2507826955592692,1.927586096602558e-10,0.00026386390810673177,0.0007324698743333968,0.0068135879341504335,-0.0060399642324003855
5,s=-1,2.0907410635648844e-10,6.824948043042863e-10,0.25056248152843397,2.0904726060683494e-10,0.0001284195237745145,0.000534103374367989,0.006811314643704325,-0.006234744463075148
5,resolved_00,2.0356162158991677e-10,6.646386498881219e-10,0.2505102216002593,2.0355505410045645e-10,3.226394691768775e-05,0.0005996963235939123,0.006811113327030993,-0.006169396544413508
5,resolved_11,1.983219564668937e-10,6.467045257802068e-10,0.2508303244085167,1.9825081616663436e-10,0.0003588398859328823,0.0006596121648285713,0.006813732066695666,-0.006112471161109911
5,spin_sum,4.0188357805681045e-10,1.3113431756683288e-09,0.2506680841176049,4.018058702670908e-10,0.00019339635249226994,0.0006292627630128944,0.006812404788024473,-0.006141304969631722
6,s=+1,1.9281105949766722e-10,6.301775534939834e-10,0.25025580092221106,1.927601854814426e-10,0.00026392388084484075,8.235058844618948e-06,0.00211367666748985,-0.002101000772334438
6,s=-1,2.0907219931036035e-10,6.83960624494147e-10,0.2500232116381788,2.090453398660396e-10,0.00012848621422500983,-9.1213883981478e-06,0.002147738240080743,-0.00215223718637203
6,resolved_00,2.0356093451250513e-10,6.66058292275337e-10,0.24997543821405357,2.0355435340701322e-10,3.233094935950476e-05,-3.37527971272511e-06,0.002135961228637573,-0.002134776708070274
6,resolved_11,1.9832232429552247e-10,6.480798857127936e-10,0.2502984746654723,1.9825117194046904e-10,0.0003589000476365012,1.8547045184114097e-06,0.0021267207476667327,-0.002120356636696852
6,spin_sum,4.018832588080276e-10,1.3141381779881306e-09,0.2501347467479834,4.0180552534748224e-10,0.00019346040719114832,-7.94381259439092e-07,0.0021314041752475976,-0.0021276636453296804
7,s=+1,1.9280928985848454e-10,6.305437391274542e-10,0.25010817037594973,1.9275841307562349e-10,0.0002639406604840744,-9.17809998701724e-06,0.000581083270009275,-0.0005899185781800265
7,s=-1,2.0907051255809692e-10,6.843705591261794e-10,0.2498714330235183,2.0904365014029594e-10,0.0001285014770022741,-8.06779796169721e-06,0.0005993541402118385,-0.0006070580953906335
7,resolved_00,2.0355921717663106e-10,6.664533829065923e-10,0.24982513871289883,2.03552632934905e-10,3.23466301128672e-05,-8.436470770756266e-06,0.0005931772576626138,-0.000601257076409456
7,resolved_11,1.9832058523995045e-10,6.484609153470417e-10,0.2501492080613839,1.982494302810145e-10,0.0003589163350183888,-8.768834160233219e-06,0.000587936213803264,-0.0005963544295979339
7,spin_sum,4.018798024165815e-10,1.314914298253634e-09,0.24998495620566896,4.018020632159195e-10,0.00019347636007593927,-8.600486261500784e-06,0.0005905925864597705,-0.000598839402609519
