branch_shift,delta_Q_hybrid_D5,absolute_increment_bound_Q
0.0,9.565344105868321e-08,9.565344105868321e-08
0.5,1.52785684733145e-09,7.089726981099173e-09
1.0,-4.519273721832494e-10,1.677897849132219e-09
1.5,-4.856020096469255e-10,7.009477579489538e-10
2.0,5.579641903865528e-10,5.63184436287495e-10
2.5,3.1586697387451816e-11,3.977094170513229e-11
3.0,-4.57538840760682e-12,2.2821336639942637e-11
3.5,1.6805168106328478e-14,2.92215162529554e-14
4.0,2.0309014668679815e-12,7.51289843133899e-12
4.5,2.1197419556056133e-15,1.6302703436878793e-14
5.0,6.553872345015519e-15,3.1569737511677456e-14
5.5,-7.52541202682443e-18,8.394233491990436e-17
6.0,7.204050558431822e-15,2.0895846642515328e-14
6.5,3.327799260575164e-16,4.414804301750979e-16
7.0,1.217966184418665e-19,6.320898536725267e-19
7.5,-1.2255370735573256e-19,1.994796982726824e-18
8.0,7.053789704248871e-17,4.298960628343359e-16
8.5,-1.3141601989182235e-18,1.8474950545582732e-18
9.0,1.6472929283217077e-19,5.2204883344925795e-19
9.5,2.5284217257278535e-21,5.65464637983926e-21
10.0,1.370817663654337e-22,2.222368259012139e-21
