branch_cutoff,descendant_cutoff,lifts_geometry,equal,mixed_frozen_L5,total_hybrid,Q_hybrid,Q_equal,relative_to_K5,relative_to_old_total_L5,relative_to_preceding_K
3,4,"[1, 1, 1]",3.98197825113806e-10,3.667026812477842e-10,7.649005063615903e-10,1.860075478895714e-07,9.68332487798949e-08,-1.1050208347684887e-05,1.2050723688705745e-05,
4,4,"[1, 1, 1]",3.982062416321884e-10,3.667026812477842e-10,7.649089228799727e-10,1.8600959460797864e-07,9.683529549830214e-08,-4.69140523096101e-08,2.30542721730842e-05,1.1003415885335599e-05
5,4,"[1, 1, 1]",3.982062775171675e-10,3.667026812477842e-10,7.649089587649516e-10,1.860096033344429e-07,9.683530422476644e-08,0.0,2.310118730930455e-05,4.691405464107845e-08
6,4,"[1, 1, 1]",3.9820630652444066e-10,3.667026812477842e-10,7.649089877722248e-10,1.860096103883953e-07,9.683531127871883e-08,3.7922517348576434e-08,2.3139110702619092e-05,3.7922517348576434e-08
8,4,"[1, 1, 1]",3.9820630817450117e-10,3.667026812477842e-10,7.649089894222853e-10,1.8600961078965496e-07,9.683531167997849e-08,4.007971576847069e-08,2.3141267950999023e-05,2.1571984198942573e-09
10,4,"[1, 1, 1]",3.9820630817093964e-10,3.667026812477842e-10,7.649089894187238e-10,1.8600961078878887e-07,9.68353116791124e-08,4.007505971515002e-08,2.3141263294723657e-05,-4.656164342975444e-12
3,5,"[1, 1, 1]",3.9817930064827933e-10,3.667026812477842e-10,7.648819818960636e-10,1.8600304313322738e-07,9.682874402355088e-08,-1.105550468583072e-05,-1.2167705513266291e-05,
4,5,"[1, 1, 1]",3.9818772123045326e-10,3.667026812477842e-10,7.648904024782374e-10,1.8600509083986232e-07,9.683079173018585e-08,-4.663105657165545e-08,-1.158844128212877e-06,1.1008995339345518e-05
5,5,"[1, 1, 1]",3.981877568981025e-10,3.667026812477842e-10,7.648904381458867e-10,1.8600509951347663e-07,9.683080040380015e-08,0.0,-1.1122131234886368e-06,4.66310587921015e-08
6,5,"[1, 1, 1]",3.981877864916636e-10,3.667026812477842e-10,7.648904677394477e-10,1.8600510671000177e-07,9.68308076003253e-08,3.868993458944203e-08,-1.073523231975848e-06,3.868993458944203e-08
8,5,"[1, 1, 1]",3.9818778815018455e-10,3.667026812477842e-10,7.648904693979687e-10,1.8600510711331884e-07,9.683080800364235e-08,4.085824656385739e-08,-1.0713549224439234e-06,2.168311752370755e-09
10,5,"[1, 1, 1]",3.9818778814546885e-10,3.667026812477842e-10,7.648904693932529e-10,1.8600510711217206e-07,9.68308080024956e-08,4.0852081273357044e-08,-1.0713610877344237e-06,-6.165290500348419e-12
3,6,"[1, 1, 1]",3.981829125626999e-10,3.667026812477842e-10,7.648855938104839e-10,1.8600392147405592e-07,9.682962236437947e-08,-1.1053724445875268e-05,-7.445577711706619e-06,
4,6,"[1, 1, 1]",3.9819133241952555e-10,3.667026812477842e-10,7.648940136673097e-10,1.8600596900430165e-07,9.683166989462517e-08,-4.585108126509141e-08,3.5623353713543082e-06,1.1007995043943453e-05
5,6,"[1, 1, 1]",3.9819136749074466e-10,3.667026812477842e-10,7.648940487385289e-10,1.8600597753287685e-07,9.683167842320034e-08,0.0,3.608186617931608e-06,4.5851083374515156e-08
6,6,"[1, 1, 1]",3.9819139687407074e-10,3.667026812477842e-10,7.648940781218549e-10,1.8600598467827728e-07,9.68316855686008e-08,3.841489681910559e-08,3.646601653306547e-06,3.841489681910559e-08
8,6,"[1, 1, 1]",3.981913985323178e-10,3.667026812477842e-10,7.648940797801019e-10,1.8600598508152772e-07,9.683168597185124e-08,4.058284019947678e-08,3.648769604680524e-06,2.1679433803711845e-09
10,6,"[1, 1, 1]",3.9819139852826136e-10,3.667026812477842e-10,7.648940797760455e-10,1.860059850805413e-07,9.683168597086481e-08,4.057753710817735e-08,3.6487643015892246e-06,-5.303202321726985e-12
