source_grid,source_L,target_N,target_R,comparison,source_Z,target_Z,ratio,maximum_relative_level_step,absolute_nodal_relative_step
adapted_N7,3,10,12,s=+1,7.710312017369996e-10,6.306838813561272e-10,0.999943273945381,,
adapted_N7,3,10,12,s=-1,8.361728364145373e-10,6.845299709620976e-10,0.9991224771317881,,
adapted_N7,3,10,12,resolved_00,8.142085276377938e-10,6.666062612075919e-10,0.9990366024430146,,
adapted_N7,3,10,12,resolved_11,7.929955105137435e-10,6.486075911106331e-10,1.0000088496215593,,
adapted_N7,3,10,12,spin_sum,1.6072040381515373e-09,1.315213852318225e-09,0.9995160734426003,,
adapted_N7,4,10,12,s=+1,7.712648834830697e-10,6.306838813561272e-10,1.0002463336525629,0.0004179036896867494,0.00030298626797219287
adapted_N7,4,10,12,s=-1,8.363091307706769e-10,6.845299709620976e-10,0.9992853319254325,0.0004179036896867494,0.00016297126400373495
adapted_N7,4,10,12,resolved_00,8.142471079902547e-10,6.666062612075919e-10,0.9990839406652701,0.0004179036896867494,6.346629820334733e-05
adapted_N7,4,10,12,resolved_11,7.933269062634922e-10,6.486075911106331e-10,1.0004267570095355,0.0004179036896867494,0.00041772911914650043
adapted_N7,4,10,12,spin_sum,1.6075740142537469e-09,1.315213852318225e-09,0.9997461606326336,0.0004179036896867494,0.00023014577531341716
adapted_N7,5,10,12,s=+1,7.712347120367394e-10,6.306838813561272e-10,1.0002072045813202,5.895812283618351e-05,3.912825327256938e-05
adapted_N7,5,10,12,s=-1,8.362802893567462e-10,6.845299709620976e-10,0.9992508700251225,5.895812283618351e-05,3.448773610683926e-05
adapted_N7,5,10,12,resolved_00,8.142348681951824e-10,6.666062612075919e-10,0.9990689223955412,5.895812283618351e-05,1.5127494520030376e-05
adapted_N7,5,10,12,resolved_11,7.932801331983035e-10,6.486075911106331e-10,1.0003677737259071,5.895812283618351e-05,5.8961599101255354e-05
adapted_N7,5,10,12,spin_sum,1.607515001393486e-09,1.315213852318225e-09,0.9997094606860365,5.895812283618351e-05,3.671061500878026e-05
adapted_N7,6,10,12,s=+1,7.712397765216228e-10,6.306838813561272e-10,1.0002137726651847,8.94477610402511e-06,6.5667143137904764e-06
adapted_N7,6,10,12,s=-1,8.362856674785669e-10,6.845299709620976e-10,0.9992572962113867,8.94477610402511e-06,6.430962564402973e-06
adapted_N7,6,10,12,resolved_00,8.142382150887072e-10,6.666062612075919e-10,0.9990730290451552,8.94477610402511e-06,4.110495478044407e-06
adapted_N7,6,10,12,resolved_11,7.932872289114827e-10,6.486075911106331e-10,1.0003767217916648,8.94477610402511e-06,8.94469609560365e-06
adapted_N7,6,10,12,spin_sum,1.60752544400019e-09,1.315213852318225e-09,0.9997159549163902,8.94477610402511e-06,6.496075532106046e-06
adapted_N7,7,10,12,s=+1,7.712388231577887e-10,6.306838813561272e-10,1.000212536256397,1.503487245368973e-06,1.2361460619894834e-06
adapted_N7,7,10,12,s=-1,8.362847657483653e-10,6.845299709620976e-10,0.9992562187560168,1.503487245368973e-06,1.078257357626623e-06
adapted_N7,7,10,12,resolved_00,8.142375526919021e-10,6.666062612075919e-10,0.999072216282047,1.503487245368973e-06,8.135230034614556e-07
adapted_N7,7,10,12,resolved_11,7.932860362142521e-10,6.486075911106331e-10,1.000375217738023,1.503487245368973e-06,1.503489505864732e-06
adapted_N7,7,10,12,spin_sum,1.607523588906154e-09,1.315213852318225e-09,0.9997148012381623,1.503487245368973e-06,1.1540073493425018e-06
adapted_N7,8,10,12,s=+1,7.712390051192448e-10,6.306838813561272e-10,1.0002127722405356,2.6675198183667703e-07,2.3593393874787436e-07
adapted_N7,8,10,12,s=-1,8.362849147244573e-10,6.845299709620976e-10,0.9992563967639065,2.6675198183667703e-07,1.7814035563789408e-07
adapted_N7,8,10,12,resolved_00,8.142376720188279e-10,6.666062612075919e-10,0.9990723626965864,2.6675198183667703e-07,1.4655148111684e-07
adapted_N7,8,10,12,resolved_11,7.932862478248745e-10,6.486075911106331e-10,1.0003754845900952,2.6675198183667703e-07,2.667519108500153e-07
adapted_N7,8,10,12,spin_sum,1.6075239198437025e-09,1.315213852318225e-09,0.9997150070473758,2.6675198183667703e-07,2.0586788428602228e-07
panel_N12,3,10,12,s=+1,7.710268030977881e-10,6.306838813561272e-10,0.9999375693906442,,
panel_N12,3,10,12,s=-1,8.361682105606431e-10,6.845299709620976e-10,0.9991169498120758,,
panel_N12,3,10,12,resolved_00,8.142039779817114e-10,6.666062612075919e-10,0.9990310199996962,,
panel_N12,3,10,12,resolved_11,7.9299103567672e-10,6.486075911106331e-10,1.0000032066178288,,
panel_N12,3,10,12,spin_sum,1.6071950136584316e-09,1.315213852318225e-09,0.99951046113346,,
panel_N12,4,10,12,s=+1,7.712604838235155e-10,6.306838813561272e-10,1.000240627774553,0.0004179041072711609,0.00030298816590519124
panel_N12,4,10,12,s=-1,8.363045042631967e-10,6.845299709620976e-10,0.9992798038247662,0.0004179041072711609,0.00016297138410518994
panel_N12,4,10,12,resolved_00,8.142425581991539e-10,6.666062612075919e-10,0.9990783580562836,0.0004179041072711609,6.253616848974951e-05
panel_N12,4,10,12,resolved_11,7.933224298875585e-10,6.486075911106331e-10,1.000421112065159,0.0004179041072711609,0.0004177295363822052
panel_N12,4,10,12,spin_sum,1.6075649880867125e-09,1.315213852318225e-09,0.9997405472824811,0.0004179041072711609,0.00023014591140555366
panel_N12,5,10,12,s=+1,7.712303125072506e-10,6.306838813561272e-10,1.000201498871991,5.8958186091362386e-05,3.9125574829704766e-05
panel_N12,5,10,12,s=-1,8.362756629932128e-10,6.845299709620976e-10,0.9992453420964548,5.8958186091362386e-05,3.4487754768008845e-05
panel_N12,5,10,12,resolved_00,8.14230318464357e-10,6.666062612075919e-10,0.9990633398605129,5.8958186091362386e-05,1.5142394727244187e-05
panel_N12,5,10,12,resolved_11,7.932756570361068e-10,6.486075911106331e-10,1.000362129051064,5.8958186091362386e-05,5.896166236403603e-05
panel_N12,5,10,12,spin_sum,1.6075059755004638e-09,1.315213852318225e-09,0.9997038475062915,5.8958186091362386e-05,3.671065103550696e-05
panel_N12,6,10,12,s=+1,7.712353769692452e-10,6.306838813561272e-10,1.0002080669261713,8.94478568080892e-06,6.566769832844701e-06
panel_N12,6,10,12,s=-1,8.362810410879094e-10,6.845299709620976e-10,0.999251768250309,8.94478568080892e-06,6.4309657067949775e-06
panel_N12,6,10,12,resolved_00,8.142336653403101e-10,6.666062612075919e-10,0.9990674464885664,8.94478568080892e-06,4.1104845314329005e-06
panel_N12,6,10,12,resolved_11,7.932827527168448e-10,6.486075911106331e-10,1.0003710770759116,8.94478568080892e-06,8.944705672355232e-06
panel_N12,6,10,12,spin_sum,1.607516418057155e-09,1.315213852318225e-09,0.9997103417055425,8.94478568080892e-06,6.496080894610446e-06
panel_N12,7,10,12,s=+1,7.712344236099218e-10,6.306838813561272e-10,1.0002068305232332,1.503488742282677e-06,1.2361472797537032e-06
panel_N12,7,10,12,s=-1,8.362801393622617e-10,6.845299709620976e-10,0.9992506908003805,1.503488742282677e-06,1.0782578770956371e-06
panel_N12,7,10,12,resolved_00,8.142330029470272e-10,6.666062612075919e-10,0.99906663372978,1.503488742282677e-06,8.135212141993449e-07
panel_N12,7,10,12,resolved_11,7.932815600251566e-10,6.486075911106331e-10,1.000369573029259,1.503488742282677e-06,1.5034910027965676e-06
panel_N12,7,10,12,spin_sum,1.6075145629721838e-09,1.315213852318225e-09,0.999709188032952,1.503488742282677e-06,1.154008189915793e-06
panel_N12,8,10,12,s=+1,7.712346055704926e-10,6.306838813561272e-10,1.000207066506224,2.6675222586369784e-07,2.3593413673876852e-07
panel_N12,8,10,12,s=-1,8.362802883376021e-10,6.845299709620976e-10,0.9992508688073722,2.6675222586369784e-07,1.7814044226415445e-07
panel_N12,8,10,12,resolved_00,8.142331222733165e-10,6.666062612075919e-10,0.9990667801435384,2.6675222586369784e-07,1.465512163923267e-07
panel_N12,8,10,12,resolved_11,7.932817716347784e-10,6.486075911106331e-10,1.0003698398800693,2.6675222586369784e-07,2.6675215463766896e-07
panel_N12,8,10,12,spin_sum,1.607514893908095e-09,1.315213852318225e-09,0.9997093938411473,2.6675222586369784e-07,2.058680217185385e-07
