source_N,target_N,source_L,target_R,comparison,source_Z,target_Z,ratio
3,3,5,12,s=+1,7.637549920664656e-10,6.174704431773435e-10,1.0117029819280459
3,3,5,12,s=-1,8.289994384144616e-10,6.704552915790674e-10,1.0113455211690385
3,3,5,12,resolved_00,8.068797863895072e-10,6.528144594598787e-10,1.0109605588735655
3,3,5,12,resolved_11,7.858746440914203e-10,6.351112752965323e-10,1.0120887458990577
3,3,5,12,spin_sum,1.5927544304809273e-09,1.287925734756411e-09,1.0115168986385046
4,4,5,12,s=+1,7.706733917588742e-10,6.245926543903294e-10,1.0092264740426862
4,4,5,12,s=-1,8.35849995123093e-10,6.778775669061796e-10,1.0085379022153746
4,4,5,12,resolved_00,8.13758478391882e-10,6.60142345560537e-10,1.0082612498718628
4,4,5,12,resolved_11,7.927649084900855e-10,6.423278757359721e-10,1.009491787069909
4,4,5,12,spin_sum,1.6065233868819675e-09,1.3024702212965091e-09,1.0088681031660964
5,5,5,12,s=+1,7.712378868012879e-10,6.288483713640423e-10,1.0031307822370767
5,5,5,12,s=-1,8.362964254259538e-10,6.824948043042863e-10,1.0022499261137359
5,5,5,12,resolved_00,8.142464863596671e-10,6.646386498881219e-10,1.0020408864010373
5,5,5,12,resolved_11,7.932878258675748e-10,6.467045257802068e-10,1.0033212976340669
5,5,5,12,spin_sum,1.6075343122272418e-09,1.3113431756683288e-09,1.0026723364704195
6,6,5,12,s=+1,7.712442379906689e-10,6.301775534939834e-10,1.0010232036888442
6,6,5,12,s=-1,8.362887972414414e-10,6.83960624494147e-10,1.0000928465527152
6,6,5,12,resolved_00,8.142437380500205e-10,6.66058292275337e-10,0.9999017528562143
6,6,5,12,resolved_11,7.932892971820899e-10,6.480798857127936e-10,1.0011938986618891
6,6,5,12,spin_sum,1.6075330352321103e-09,1.3141381779881306e-09,1.0005389869919337
7,7,5,12,s=+1,7.712371594339382e-10,6.305437391274542e-10,1.000432681503799
7,7,5,12,s=-1,8.362820502323877e-10,6.843705591261794e-10,0.9994857320940732
7,7,5,12,resolved_00,8.142368687065242e-10,6.664533829065923e-10,0.9993005548515953
7,7,5,12,resolved_11,7.932823409598018e-10,6.484609153470417e-10,1.0005968322455356
7,7,5,12,spin_sum,1.607519209666326e-09,1.314914298253634e-09,0.9999398248226758
7,8,5,12,s=+1,7.712371594339382e-10,6.306445548055136e-10,1.0002727510035352
7,8,5,12,s=-1,8.362820502323877e-10,6.844849396343919e-10,0.9993187135384143
7,8,5,12,resolved_00,8.142368687065242e-10,6.665631606845094e-10,0.999135977807958
7,8,5,12,resolved_11,7.932823409598018e-10,6.485663337553963e-10,1.0004341945630504
7,8,5,12,spin_sum,1.607519209666326e-09,1.3151294944399058e-09,0.9997762034928275
7,9,5,12,s=+1,7.712371594339382e-10,6.306742393213197e-10,1.0002256702597274
7,9,5,12,s=-1,8.362820502323877e-10,6.845189108481882e-10,0.9992691194817266
7,9,5,12,resolved_00,8.142368687065242e-10,6.665956802530385e-10,0.9990872354115358
7,9,5,12,resolved_11,7.932823409598018e-10,6.485974699164698e-10,1.0003861683500752
7,9,5,12,spin_sum,1.607519209666326e-09,1.3151931501695084e-09,0.9997278140348499
7,10,5,12,s=+1,7.712371594339382e-10,6.306838813561272e-10,1.0002103785882372
7,10,5,12,s=-1,8.362820502323877e-10,6.845299709620976e-10,0.9992529740523718
7,10,5,12,resolved_00,8.142368687065242e-10,6.666062612075919e-10,0.9990713770296874
7,10,5,12,resolved_11,7.932823409598018e-10,6.486075911106331e-10,1.000370557828726
7,10,5,12,spin_sum,1.607519209666326e-09,1.315213852318225e-09,0.9997120778001334
